ac_no,Candidate,Party,% of Votes,Total Votes,,
309,Basant Chaudhary,Indian National Congress,1.9%,"44,51",,
309,Nihaluddin,All India Majlis-E-Ittehadul Muslimeen,1.38%,"32,38",,
309,Mohd. Kayoom,Atal Janshakti Party,0.62%,"14,61",,
309,NOTA,None of the Above,0.49%,"11,40",,
309,Jai Govind Pandey,Akhil Bharatiya Socialist Party,0.41%,"95,3",,
309,Laxmikant Bhatt,Independent,0.37%,"86,6",,
309,Prem Kumar,Independent,0.3%,"70,7",,
309,Mahfooj Ali,Peace Party,0.28%,"66,2",,
309,Ajay Pratap,Independent,0.23%,"53,6",,
309,Sunil Kumar,Independent,0.22%,"51,0",,
309,Neelam,Log Party,0.18%,"43,2",,
310,Mahendra Nath Yadav,Samajwadi Party,39.81%,"86,029",,
310,Dayaram Chaudhary,Bharatiya Janata Party,38.99%,"84,250",,
310,Alok Ranjan Verma,Bahujan Samaj Party,16.86%,"36,429",,
310,DEVENDRA KUMAR SRIVASTAVA,Indian National Congress,1.9%,"41,05",,
310,NOTA,None of the Above,0.61%,"13,20",,
310,Ambrish Dev Gupta 'Sonu',Bharat Mahaparivar Party,0.55%,"11,80",,
310,Babita,Independent,0.28%,"61,2",,
310,Gyan Prakash Tripathi,Atal Janshakti Party,0.25%,"53,7",,
310,Ramesh Kumar Singh,Aam Aadmi Party,0.23%,"50,6",,
310,Ram Prasad,Janhit Kisan Party,0.21%,"44,5",,
310,Arbabul Haq,Aazad Samaj Party (Kanshi Ram),0.19%,"41,4",,
310,Pradeep Kumar,Bahujan Mukti Party,0.12%,"26,6",,
311,Dudhram,Suheldev Bharatiya Samaj Party,39.47%,"83,350",,
311,Ravi,Bharatiya Janata Party,36.87%,"77,855",,
311,LAXMI CHANDRA KHARVAR,Bahujan Samaj Party,19.04%,"40,207",,
311,PURNIMA,Jan Adhikar Party,1.38%,"29,07",,
311,Brijesh Kumar,Indian National Congress,1.07%,"22,55",,
311,NOTA,None of the Above,0.75%,"15,82",,
311,SURESH,Aam Aadmi Party,0.56%,"11,83",,
311,Vijay Vikram,Independent,0.45%,"94,3",,
311,Ram Karan,Bahujan Mukti Party,0.43%,"90,5",,
312,ANIL KUMAR TRIPATHI,Nirbal Indian Shoshit Hamara Aam Dal,37.23%,"90,193",,
312,JAY CHAND,Samajwadi Party,35.08%,"84,970",,
312,MUHAMMAD TABISH KHAN,Bahujan Samaj Party,20.87%,"50,554",,
312,SURENDRA MOHAN,Vikassheel Insaan Party,1.01%,"24,40",,
312,RAFIQUA KHATOON,Indian National Congress,0.98%,"23,70",,
312,NOTA,None of the Above,0.85%,"20,58",,
312,SHAKTI PRASAD,Lok Shakti,0.74%,"17,91",,
312,MEENU SINGH,Peace Party,0.58%,"14,11",,
312,UDAYRAJ,Bahujan Mukti Party,0.57%,"13,71",,
312,AKHILESH,Aam Aadmi Party,0.56%,"13,46",,
312,SHANKAR,Independent,0.52%,"12,68",,
312,RAMKRISHNA,Independent,0.45%,"10,96",,
312,BRIJESH KUMAR,Sarvjan Awaz Party,0.35%,"84,4",,
312,ZALALUDDIN,Jan Adhikar Party,0.21%,"51,8",,
313,ANKUR TIWARI,Bharatiya Janata Party,30.36%,"76,086",,
313,DIGVIJAY NARAYAN,Samajwadi Party,25.32%,"63,464",,
313,AFTAB ALAM,Bahujan Samaj Party,23.29%,"58,368",,
313,SUBODH CHANDRA,Aam Aadmi Party,10.07%,"25,247",,
313,DR MOHAMMAD AYUB,Peace Party,7.73%,"19,364",,
313,AMRENDRA BHUSHAN,Indian National Congress,0.64%,"16,10",,
313,GIRIJA SHANKER,Rashtriya Bhagidari Party,0.6%,"15,07",,
313,NOTA,None of the Above,0.5%,"12,59",,
313,RAVINDRA KUMAR YADAV,Independent,0.37%,"92,2",,
313,SHYAMLAL,Independent,0.32%,"79,5",,
313,MOHAMMAD ALI,Indian National League,0.28%,"69,0",,
313,NIYAZ,Independent,0.2%,"48,9",,
313,AKHILESH,Independent,0.19%,"48,6",,
313,IFTEKHAR AHMAD,Independent,0.14%,"34,0",,
314,GANESH CHANDRA,Bharatiya Janata Party,38.5%,"83,241",,
314,ALAGU PRASAD,Suheldev Bharatiya Samaj Party,33.62%,"72,688",,
314,SANTOSH,Bahujan Samaj Party,18.82%,"40,693",,
314,YASHAVANT,Independent,2.51%,"54,33",,
314,NARENDRA DEV,Jan Adhikar Party,1.83%,"39,60",,
314,AMRIT KUMAR,Vikassheel Insaan Party,1.05%,"22,66",,
314,SHANTI DEVI,Indian National Congress,0.91%,"19,71",,
314,NOTA,None of the Above,0.89%,"19,15",,
314,BHAJURARAM URF BHAJURAM,Independent,0.52%,"11,23",,
314,LAUTAN PRASAD,Shoshit Samaj Dal,0.38%,"83,1",,
314,GIRAJESH,Aam Aadmi Party,0.37%,"81,0",,
314,KUSUM,Sarvjan Awaz Party,0.35%,"75,1",,
314,HARILAL,Independent,0.25%,"54,0",,
315,Virendra Chaudhary,Indian National Congress,40.28%,"85,181",,
315,Bajrang Bahadur Singh,Bharatiya Janata Party,39.69%,"83,935",,
315,Ishoo Chaurasiya,Bahujan Samaj Party,10.24%,"21,665",,
315,Shankhlal,Samajwadi Party,7.78%,"16,457",,
315,NOTA,None of the Above,0.7%,"14,84",,
315,Suryaprakash,Akhil Bharatiya Socialist Party,0.34%,"72,0",,
315,Ashutosh,Independent,0.3%,"63,3",,
315,Jaili,Aam Janta Party (India),0.24%,"51,4",,
315,RAVI PRAKASH VISHWAKARMA,Lok Samaj Party,0.22%,"46,4",,
315,Rajan,Aam Aadmi Party,0.21%,"43,7",,
316,RISHI,Nirbal Indian Shoshit Hamara Aam Dal,40.03%,"90,263",,
316,KUNWAR KAUSHAL SINGH,Samajwadi Party,33.23%,"74,932",,
316,AMAN MANI TRIPATHI,Bahujan Samaj Party,20.46%,"46,128",,
316,SADA MOHAN,Indian National Congress,2.25%,"50,71",,
316,NAGENDRA PRASAD,Jan Adhikar Party,1.4%,"31,52",,
316,NOTA,None of the Above,0.91%,"20,61",,
316,VEERENDRA,Independent,0.39%,"87,2",,
316,SHEWETA SINGH,Independent,0.36%,"81,7",,
316,SONU SINGH,Independent,0.35%,"78,7",,
316,BECHAN,Aam Aadmi Party,0.32%,"71,9",,
316,PASHUPATI,Aam Janta Party (India),0.29%,"66,1",,
317,Premsagar Patel,Bharatiya Janata Party,50.05%,"12,7673",,
317,Sushil Kumar Tibrewal,Samajwadi Party,25.46%,"64,942",,
317,Dhirendra Pratap Singh,Bahujan Samaj Party,13.13%,"33,498",,
317,Ajay Kumar Srivastava,Independent,4.21%,"10,727",,
317,Rakesh Kumar Mishra,Independent,2.94%,"75,12",,
317,Raju Kumar Gupta,Indian National Congress,1.67%,"42,60",,
317,NOTA,None of the Above,0.76%,"19,49",,
317,Harishchandr,Independent,0.57%,"14,46",,
317,Laldhari,Independent,0.38%,"95,7",,
317,Gautam Lal Srivastva,Loktantrik Janta Dal,0.36%,"93,0",,
317,Rama Kumar,Aam Aadmi Party,0.2%,"52,1",,
317,Deepak Srivastava,Aam Janta Party (India),0.13%,"34,1",,
317,Deenanath,Vikassheel Insaan Party,0.13%,"32,3",,
318,JAY MANGAL,Bharatiya Janata Party,51.8%,"13,6071",,
318,NIRMESH MANGAL,Independent,22.53%,"59,168",,
318,GEETA RATNA,Suheldev Bharatiya Samaj Party,8.53%,"22,395",,
318,OMPRAKASH,Bahujan Samaj Party,7.79%,"20,466",,
318,JITENDRA,All India Majlis-E-Ittehadul Muslimeen,2.95%,"77,51",,
318,ALOK PRASAD,Indian National Congress,2.23%,"58,65",,
318,NOTA,None of the Above,1.08%,"28,48",,
318,RAMKEVAL,Communist Party of India,1.07%,"28,14",,
318,AMARNATH,Aam Aadmi Party,0.58%,"15,21",,
318,AWADHESH,Independent,0.49%,"12,74",,
318,SHAILENDAR,Bahujan Mukti Party,0.4%,"10,54",,
318,VIRENDAR,Lok Jan Shakti Party,0.29%,"76,8",,
318,MANOJ KUMAR,Aam Janta Party (India),0.26%,"67,7",,
319,GYANENDRA SINGH,Bharatiya Janata Party,52.11%,"13,5463",,
319,KRISHNABHAN,Samajwadi Party,28.48%,"74,035",,
319,Omprakash Chaurasia,Bahujan Samaj Party,13.4%,"34,829",,
319,SHAMSHAD AALAM,All India Majlis-E-Ittehadul Muslimeen,1.33%,"34,57",,
319,SHARDENDU KUMAR PANDEY,Indian National Congress,1.15%,"29,92",,
319,PRAFULL,Independent,0.63%,"16,32",,
319,AWDHESH SINGH SAITHWAR,Aam Aadmi Party,0.6%,"15,68",,
319,NOTA,None of the Above,0.6%,"15,58",,
319,PRAVEEN,Independent,0.52%,"13,43",,
319,HARINARAYAN,Independent,0.42%,"11,01",,
319,SHATRUDHAN SINGH NISHAD,Abhay Samaj Party,0.23%,"60,6",,
319,CHHEDI MAJDOOR,Independent,0.15%,"39,5",,
319,AJAY KUMAR DWIVEDI,Independent,0.15%,"38,2",,
319,SURESH CHAND,Bharatiya Apna Samaj Party,0.12%,"30,3",,
319,RAMCHANDRA,Aam Janta Party (India),0.1%,"26,7",,
320,FATEH BAHADUR,Bharatiya Janata Party,54.38%,"12,2032",,
320,KAJAL NISHAD,Samajwadi Party,35.37%,"79,376",,
320,CHANDRA PRAKASH NISHAD,Bahujan Samaj Party,5.86%,"13,153",,
320,SURENDRA KUMAR NISHAD,Indian National Congress,1.16%,"25,92",,
320,ATAL BIHARI SINGH,Communist Party of India,0.73%,"16,32",,
320,NOTA,None of the Above,0.51%,"11,55",,
320,DHANUSHDHARI KUMAR,Independent,0.4%,"90,4",,
320,VINDHYVASINI SINGH NISHAD,Indian National League,0.39%,"88,3",,
320,VINOD SINGH FAUZI,Bhartiya Kisan Union Samaj Party,0.28%,"63,5",,
320,RAMPAL,Independent,0.27%,"61,1",,
320,NAVIMUHAMAD,Independent,0.2%,"43,8",,
320,KAUSHAL KUMAR SINGH,Aam Aadmi Party,0.17%,"38,0",,
320,JATASHANKAR,Jan Adhikar Party,0.14%,"30,9",,
320,MUNIB NISHAD,Bharatiya Eklavya Party,0.13%,"29,3",,
321,MAHENDRA PAL SINGH,Bharatiya Janata Party,54.86%,"14,1780",,
321,AMRENDRA NISHAD,Samajwadi Party,29.57%,"76,423",,
321,DEEPAK KUMAR AGARWAL,Bahujan Samaj Party,11.98%,"30,954",,
321,SUMAN CHAUHAN,Indian National Congress,0.76%,"19,71",,
321,NOTA,None of the Above,0.51%,"13,13",,
321,DR. ASHISH KUMAR SINGH,Communist Party of India,0.48%,"12,40",,
321,AZAD ALI,Independent,0.38%,"97,6",,
321,SUBHASH CHANDRA GUPTA,Independent,0.28%,"71,7",,
321,AVINASH PRATAP PRAJAPATI,Lokpriya Samaj Party,0.25%,"65,5",,
321,NARENDRA NATH MAURYA,Independent,0.25%,"64,2",,
321,NAZIM,Jan Adhikar Party,0.2%,"51,4",,
321,ARUN KUMAR,Independent,0.16%,"41,6",,
321,DHIRENDRA PRATAP JAISWAL,Aam Aadmi Party,0.13%,"33,0",,
321,VIJAY KUMAR BHARTI,Rashtravadi Vikas Party,0.11%,"29,0",,
321,AMOD KUMAR BHATT,Bharatiya Apna Samaj Party,0.09%,"22,1",,
322,ADITYANATH,Bharatiya Janata Party,66.18%,"16,5499",,
322,SUBHAWATI UPENDRA DUTT SHUKLA,Samajwadi Party,24.84%,"62,109",,
322,KHWAJA SHAMSUDDIN,Bahujan Samaj Party,3.21%,"80,23",,
322,CHANDRA SHEKHAR,Aazad Samaj Party (Kanshi Ram),3.06%,"76,40",,
322,Dr. CHETNA PANDEY,Indian National Congress,1.15%,"28,80",,
322,NOTA,None of the Above,0.48%,"11,94",,
322,VIJAY KUMAR SRIVASTAVA,Aam Aadmi Party,0.34%,"85,3",,
322,RAM DAVAN MAURYA,Right to Recall Party,0.2%,"49,0",,
322,AJAI SHANKER SRIVASTAVA,Anarakshit Samaj Party,0.19%,"46,8",,
322,JASKARAN RAJ,Janta Rakshak Party,0.09%,"23,3",,
322,SANT DHARAMVEER CHOTIWALA,Independent,0.08%,"20,7",,
322,SURAJ KUMAR YADAV,Independent,0.07%,"18,7",,
322,QAZI MOHD. RASHID,Independent,0.06%,"15,9",,
322,YUVRAJ SHARMA,Bharatiya Jan Jagriti Party,0.05%,"12,5",,
323,BIPIN SINGH,Bharatiya Janata Party,49.59%,"12,6376",,
323,VIJAY BAHADUR YADAV,Samajwadi Party,40.14%,"10,2306",,
323,DARA SINGH NISHAD,Bahujan Samaj Party,6.27%,"15,982",,
323,MOHD. ISLAM,All India Majlis-E-Ittehadul Muslimeen,1.38%,"35,19",,
323,DEVENDRA NISHAD MAHARA,Indian National Congress,0.59%,"14,92",,
323,NOTA,None of the Above,0.41%,"10,53",,
323,HIFZURRAHMAN AJMAL ANSARI,Peace Party,0.33%,"84,1",,
323,GHANSHYAM NISHAD,Independent,0.32%,"81,3",,
323,HARISEWAK,Moulik Adhikar Party,0.26%,"66,0",,
323,VAIBHAV SHAHI,Aam Aadmi Party,0.13%,"31,9",,
323,VINAY KUMAR PANDEY ALIAS SWAMI DR. VINAY,Sarvodaya Bharat Party,0.12%,"29,9",,
323,DR. SHRINARAYAN VISHWAKARMA,Bahujan Mukti Party,0.11%,"27,4",,
323,BINDU,Independent,0.11%,"26,8",,
323,POONAM SINGH,Bharatiya Apna Samaj Party,0.1%,"26,2",,
323,PRAMOD,"Rashtrawadi Party of India,",0.08%,"21,1",,
323,GAUTAM,Rashtriya mahan Gantantra Party,0.07%,"19,0",,
324,PRADEEP SHUKLA,Bharatiya Janata Party,47.21%,"10,5981",,
324,YASHPAL SINGH RAWAT,Samajwadi Party,27.87%,"62,575",,
324,SUDHiR SINGH,Bahujan Samaj Party,19.56%,"43,905",,
324,MANOJ YADAV,Indian National Congress,1.49%,"33,38",,
324,SURJEET SINGH,Independent,0.72%,"16,21",,
324,NOTA,None of the Above,0.71%,"16,04",,
324,VIJAY ANAND UPADHYAY,Aam Aadmi Party,0.61%,"13,78",,
324,MANOJ KUMAR,Vikassheel Insaan Party,0.52%,"11,63",,
324,RAKESH SHUKLA,Independent,0.31%,"70,2",,
324,PRASHANT RAM TRIPATHI,Lok Janshakti Party(Ram Vilas),0.25%,"56,8",,
324,SRI KRISHN YADAV,Independent,0.24%,"54,1",,
324,RAKESH DUBEY,Bharatiya Apna Samaj Party,0.24%,"54,0",,
324,PRAHALAD SINGH,Shiv Sena,0.13%,"29,8",,
324,RAMAKANT,Bahujan Mukti Party,0.12%,"27,5",,
325,SHRIRAM CHAUHAN,Bharatiya Janata Party,45.37%,"90,210",,
325,RUPAWATI BELDAR,Samajwadi Party,26.71%,"53,109",,
325,VIDYASAGAR,Bahujan Samaj Party,23.35%,"46,427",,
325,RAJANI,Indian National Congress,1.1%,"21,97",,
325,RAMESH CHANDRA,Jan Adhikar Party,0.82%,"16,29",,
325,NOTA,None of the Above,0.73%,"14,52",,
325,AMITA BHARATI,Bahujan Mukti Party,0.64%,"12,72",,
325,RAJKUMAR,Rashtriya Teesara Vikalp Party,0.44%,"86,6",,
325,RISHIKAPOOR,Independent,0.34%,"68,5",,
325,DEENBANDHU,Aam Aadmi Party,0.34%,"67,7",,
325,GAURI SHANKAR,Adim Bhartiya Dal,0.15%,"30,3",,
326,SARVAN KUMAR NISHAD,Bharatiya Janata Party,44.65%,"91,958",,
326,BRIJESH CHANDRA LAL,Samajwadi Party,24.68%,"50,831",,
326,AJAY KUMAR SINGH,Independent,14.36%,"29,582",,
326,VIRENDRA,Bahujan Samaj Party,12.18%,"25,077",,
326,JITENDRA,Indian National Congress,0.85%,"17,41",,
326,RAMESH PRASAD,Jan Adhikar Party,0.78%,"15,97",,
326,NOTA,None of the Above,0.59%,"12,14",,
326,AKHILESH,Aam Aadmi Party,0.55%,"11,36",,
326,RAKESH,Independent,0.4%,"81,4",,
326,RADHIKA,Independent,0.38%,"77,9",,
326,SANJAY KUMAR SHARMA,Aam Janta Party (India),0.21%,"43,3",,
326,RAMNATH,Vikassheel Insaan Party,0.16%,"32,2",,
326,RAHUL,Satya Bahumat Party,0.12%,"24,0",,
326,SONU RAI,Mera Adhikaar Rashtriya Dal,0.11%,"22,8",,
327,DR. VIMLESH PASWAN,Bharatiya Janata Party,46.26%,"87,224",,
327,DR. SANJAY KUMAR,Samajwadi Party,29.13%,"54,915",,
327,RAMNAYAN AZAD,Bahujan Samaj Party,19.73%,"37,204",,
327,POONAM,Indian National Congress,1.09%,"20,50",,
327,NOTA,None of the Above,0.77%,"14,60",,
327,VIJAY PASWAN,Vikassheel Insaan Party,0.76%,"14,40",,
327,ROODAL,Jan Adhikar Party,0.74%,"13,92",,
327,SHRVAN KUMAR NIRALA,Independent,0.61%,"11,47",,
327,LALVACHAN,Aam Aadmi Party,0.56%,"10,60",,
327,MURLI,"Rashtrawadi Party of India,",0.34%,"65,0",,
328,RAJESH TRIPATHI,Bharatiya Janata Party,42.49%,"96,777",,
328,VINAY SHANKAR,Samajwadi Party,32.98%,"75,132",,
328,RAJENDRA SEHI,Bahujan Samaj Party,20.08%,"45,729",,
328,POONAM GUPTA,Aazad Samaj Party (Kanshi Ram),1.36%,"30,90",,
328,NOTA,None of the Above,0.86%,"19,53",,
328,RAVINDRA,Jan Adhikar Party,0.73%,"16,68",,
328,SONIYA SHUKLA,Indian National Congress,0.6%,"13,78",,
328,SURAJ KUMAR,Aam Aadmi Party,0.35%,"80,0",,
328,SUBHASH CHANDRA DUBEY,Rashtriya Jantantrik Bharat Vikas Party,0.35%,"78,7",,
328,CHINTAMANI PANDEY,Bharatiya Apna Samaj Party,0.21%,"47,0",,
329,VIVEKA NAND PANDEY,Nirbal Indian Shoshit Hamara Aam Dal,43.08%,"88,291",,
329,VIJAY PRATAP KUSHWAHA,Independent,22.85%,"46,840",,
329,ASHOK CHAUHAN,Suheldev Bharatiya Samaj Party,10.31%,"21,126",,
329,DR. NISAR AHMAD SIDDIQUE,Bahujan Samaj Party,9.76%,"19,997",,
329,MD AKHTAR WASEEM,All India Majlis-E-Ittehadul Muslimeen,8.01%,"16,419",,
329,NOTA,None of the Above,1.45%,"29,73",,
329,DHANANJAY,Indian National Congress,1.11%,"22,72",,
329,KM POONAM RANI,Independent,0.87%,"17,77",,
329,OM PRAKASH,Vikassheel Insaan Party,0.79%,"16,16",,
329,RAJKUMAR,Aam Aadmi Party,0.71%,"14,46",,
329,RAMCHANDRA SINGH,Independent,0.62%,"12,62",,
329,NAVAL KISHOR,Aam Janta Party (India),0.46%,"94,0",,
330,MANISH KUMAR URF MANTU,Bharatiya Janata Party,49.8%,"11,4496",,
330,VIKRAMA YADAV,Samajwadi Party,31.53%,"72,488",,
330,PAWAN KUMAR UPADHYAY,Bahujan Samaj Party,9.13%,"20,983",,
330,JAVED KHAN,All India Majlis-E-Ittehadul Muslimeen,3.47%,"79,76",,
330,MD JAHIRUDDIN,Indian National Congress,1.45%,"33,38",,
330,ANSHUMAN BANKA,Independent,1.32%,"30,26",,
330,MOSAHAB,Independent,0.82%,"18,80",,
330,NOTA,None of the Above,0.61%,"13,94",,
330,RAJU,Independent,0.44%,"10,05",,
330,ASHOK KUMAR TIWARI,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.31%,"71,7",,
330,FAKHARE ALAM ANSARI,Independent,0.25%,"56,5",,
330,IJHAR,Independent,0.23%,"52,9",,
330,AINOODDIN AHMAD WARSI,Independent,0.18%,"42,5",,
330,RAMESH PRASAD,Aam Janata Party,0.18%,"40,6",,
330,RAVISHANKAR,Aam Aadmi Party,0.15%,"34,6",,
330,DR. ABHISHEK TRIPATHI,Independent,0.14%,"33,3",,
331,ASIM KUMAR,Bharatiya Janata Party,50.81%,"11,5123",,
331,UDAY NARAYAN,Samajwadi Party,21.47%,"48,651",,
331,AJAY KUMAR LALLU,Indian National Congress,14.78%,"33,496",,
331,SANJAY,Bahujan Samaj Party,7.44%,"16,854",,
331,NOTA,None of the Above,1.1%,"24,85",,
331,MATIULLAH,Communist Party of India,1%,"22,63",,
331,HARIKESH,Independent,0.86%,"19,56",,
331,MAN SINGH CHAUHAN,Jan Adhikar Party,0.71%,"16,17",,
331,VISHNU PRABHAKAR MISHRA,Independent,0.62%,"13,95",,
331,RAJU GUPTA,Independent,0.34%,"77,4",,
331,KESHAV KUMAR GUPTA,Vikassheel Insaan Party,0.31%,"70,2",,
331,SANJAY KUMAR RAI,Aam Aadmi Party,0.29%,"66,8",,
331,SHRIKANT SINGH,Janata Dal (United),0.26%,"59,7",,
332,Surendra Kumar Kushwaha,Bharatiya Janata Party,51.61%,"11,6029",,
332,Swami Prasad Maurya,Samajwadi Party,31.59%,"71,015",,
332,Iliyas,Bahujan Samaj Party,12.56%,"28,237",,
332,Sunil Urf Manoj Singh,Indian National Congress,1.03%,"23,23",,
332,NOTA,None of the Above,0.67%,"15,11",,
332,Vijay Kumar Pathak,Independent,0.6%,"13,39",,
332,Saharun Nisha,Independent,0.46%,"10,28",,
332,Mariyam Khatoon,Independent,0.34%,"75,9",,
332,Vinai Prakash Srivastava,Independent,0.27%,"60,9",,
332,Nand Lal Gupta Vidrohi,Independent,0.18%,"41,1",,
332,Navratan,Aazad Samaj Party (Kanshi Ram),0.18%,"39,4",,
332,Birja,Bahujan Mukti Party,0.16%,"36,0",,
332,Sarvdev Lal,Jan Adhikar Party,0.15%,"34,6",,
332,Anurag Kumar Srivastava,Independent,0.11%,"24,3",,
332,Harishchandra Yadav,Aam Aadmi Party,0.1%,"23,2",,
333,Panchanand Pathak (P.N. Pathak),Bharatiya Janata Party,52.14%,"11,5268",,
333,Rajesh Pratap Rao Urf Banti Bhaiya,Samajwadi Party,36.4%,"80,478",,
333,Mukeshwar Prasad Urf Pappu Madheshiya,Bahujan Samaj Party,7.29%,"16,107",,
333,Safi Ahmad,All India Majlis-E-Ittehadul Muslimeen,1.26%,"27,96",,
333,NOTA,None of the Above,0.73%,"16,16",,
333,Syamrati,Indian National Congress,0.67%,"14,81",,
333,Parama,Independent,0.31%,"69,2",,
333,Sunil Kumar Dubey,Independent,0.26%,"58,3",,
333,Dhawalesh,Independent,0.25%,"55,7",,
333,Khushruddin Ansari,Independent,0.17%,"38,3",,
333,Shrinarayan,Janata Dal (United),0.16%,"35,4",,
333,Ajaya Singh,Independent,0.11%,"25,4",,
333,Rajesh,Aam Janta Party (India),0.08%,"17,5",,
333,Dipu Urf Atul Kumar Pandey,Aam Aadmi Party,0.08%,"17,2",,
333,Mukesh,Bharatiya Swajivi Nagrik Party,0.07%,"15,8",,
334,MOHAN,Bharatiya Janata Party,55.7%,"12,0666",,
334,Ranvijay Singh,Samajwadi Party,28.3%,"61,301",,
334,Shivang Singh,Bahujan Samaj Party,10.03%,"21,723",,
334,Rabeesh Singh,Independent,2.48%,"53,72",,
334,Amrendra,Indian National Congress,1.06%,"22,91",,
334,NOTA,None of the Above,0.56%,"12,14",,
334,Shailesh Gupta,Aazad Samaj Party (Kanshi Ram),0.32%,"68,7",,
334,Fanendra,Independent,0.3%,"64,8",,
334,Kamalesh,Independent,0.29%,"63,1",,
334,Monika,Aam Aadmi Party,0.28%,"60,7",,
334,Shailendra Pratap Singh Urf Himalay,Right to Recall Party,0.26%,"56,0",,
334,Ranapratap,Bhartiya Shakti Chetna Party,0.18%,"39,1",,
334,Jamshed Alam Beg,Jan Adhikar Party,0.18%,"38,4",,
334,Mahendra,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.07%,"14,4",,
335,VINAY PRAKASH GOND,Bharatiya Janata Party,58.27%,"12,4792",,
335,PURNMASI DEHATI,Suheldev Bharatiya Samaj Party,24.4%,"52,249",,
335,VIJAY KUMAR,Bahujan Samaj Party,10.76%,"23,038",,
335,SHAMBHU CHAUDHRY,Indian National Congress,1.91%,"40,80",,
335,NOTA,None of the Above,0.95%,"20,32",,
335,NAGINA PASWAN ADVOCATE,Lok Janshakti Party(Ram Vilas),0.84%,"18,02",,
335,RAJESH PARASD,Jan Adhikar Party (Loktantrik),0.61%,"13,12",,
335,PRATIMA DEVI,Satya Kranti Party,0.56%,"11,94",,
335,PINTOO,Independent,0.54%,"11,61",,
335,CHANDRABHAN,Independent,0.4%,"85,2",,
335,SHAMBHU KUMAR (ADVOCATE),Aam Aadmi Party,0.3%,"65,2",,
335,GAUTAM,Independent,0.27%,"58,6",,
335,VIMLA DEVI,Bahujan Mukti Party,0.19%,"40,2",,
336,JAI PRAKASH NISHAD,Bharatiya Janata Party,42.99%,"78,187",,
336,RAMBHUAL NISHAD,Samajwadi Party,19.93%,"36,251",,
336,AKHILESH PRATAP SINGH,Indian National Congress,17.14%,"31,177",,
336,SURESH TIWARI,Bahujan Samaj Party,11.05%,"20,093",,
336,PRADEEP YADAV,Independent,5.28%,"95,98",,
336,NOTA,None of the Above,0.9%,"16,29",,
336,SABBIR AHAMAD,Independent,0.65%,"11,88",,
336,SURENDRA NISHAD,Independent,0.59%,"10,78",,
336,MANOJ PAL,Jan Adhikar Party,0.35%,"64,3",,
336,KAMLESH KUMAR CHAURASIYA,Bahujan Mukti Party,0.3%,"53,7",,
336,AMARJIT CHAUHAN,Independent,0.28%,"51,5",,
336,RAJENDRA PRASAD NISHAD,Aam Aadmi Party,0.14%,"25,4",,
336,SANJAY PASWAN,Rastriya Hind Samaj Party,0.13%,"24,5",,
336,RAMBRIKSH RAO,Bhartiya Sarvjan Party,0.13%,"24,0",,
336,NARSINGH PAL,Aam Janta Party (India),0.13%,"22,8",,
337,SHALABH MANI TRIPATHI,Bharatiya Janata Party,53.52%,"10,6701",,
337,Ajay Pratap Singh Alias Pintu,Samajwadi Party,33.13%,"66,046",,
337,Ramsaran,Bahujan Samaj Party,8.98%,"17,893",,
337,PUROOSHOTTAM NARAIN SINGH,Indian National Congress,1.36%,"27,08",,
337,Sanjay Kumar Dubey,Communist Party of India,0.75%,"14,94",,
337,NOTA,None of the Above,0.64%,"12,85",,
337,Virendra Jaiswal,Jan Adhikar Party,0.38%,"75,3",,
337,Vijay Juaatha,Independent,0.27%,"53,6",,
337,Harinarayan Chauhan,Aam Aadmi Party,0.27%,"52,9",,
337,RAJU CHAUHAN,Moderate Party,0.22%,"44,7",,
337,Sanjay Srivastav,Bhartiya Sarvjan Party,0.21%,"41,1",,
337,Omprakash Chaurasia,Rashtriya Bhagidari Party,0.14%,"28,6",,
337,Rajnikant Srivastava,Rashtravadi Vikas Party,0.13%,"26,3",,
338,SURYA PRATAP SHAHI,Bharatiya Janata Party,46.65%,"93,858",,
338,BRAHMASHANKAR TRIPATHI,Samajwadi Party,32.4%,"65,177",,
338,PARVEJ ALAM,Bahujan Samaj Party,16.73%,"33,667",,
338,AMBAR JAHAN,Indian National Congress,0.97%,"19,56",,
338,RAMESHVAR SHARMA,Moulik Adhikar Party,0.72%,"14,50",,
338,ZIAUL HAQUE ALIAS JAMSHED,Aam Aadmi Party,0.48%,"96,1",,
338,NOTA,None of the Above,0.47%,"95,4",,
338,SANJAY SRIVASTAV,Bhartiya Sarvjan Party,0.4%,"79,7",,
338,SANDEEP KUMAR MALL,Janata Dal (United),0.34%,"69,0",,
338,RAJKISHOR,Rashtravadi Vikas Party,0.23%,"46,6",,
338,JWALA JI PRAJAPATI,Bahujan Mukti Party,0.18%,"36,0",,
338,MANISHA SINGH,Rashtriya Ulama Council,0.12%,"24,4",,
338,MUKHTAR PASI,Hindu Samaj Party,0.11%,"21,3",,
338,PRADIP,Bhartiya Shakti Chetna Party,0.1%,"20,3",,
338,DURGA,Apna Dal United Party,0.09%,"18,7",,
339,SURENDRA CHAURASIA,Bharatiya Janata Party,43.85%,"90,742",,
339,FASIHA MANZAR GHAZALA LARI,Samajwadi Party,36.76%,"76,072",,
339,PUSHPA SHAHI,Bahujan Samaj Party,14.74%,"30,493",,
